slug,title,url,kind,author,published,modified,topics,tags,reading_time,featured_image,description,word_count
top-6-product-management-books-for-2021,Top 6 must-read books for PMs getting into product management in 2021,https://arnon.dk/top-6-product-management-books-for-2021/,post,Arnon Shimoni,2020-12-27T20:54:22+00:00,2021-02-10T14:54:43+00:00,product management,,6 minutes,https://arnon.dk/wp-content/uploads/2020/12/books-bookstore-book-reading-159711.jpeg,"Last time I wrote about books, I claimed I don’t read enough. Barely 7 books per year as of 2019. This year, that has changed. I more than doubled the amount of books I read this year, with 17 total books. In fact, 2020 has actually been pretty good for me, I’ll admit. At the […]",725
using-tesla-k80-cards-or-aws-p2-instances-the-end-is-near,"Using Tesla K80 cards, or AWS P2 instances? The end is near",https://arnon.dk/using-tesla-k80-cards-or-aws-p2-instances-the-end-is-near/,post,Arnon Shimoni,2020-06-18T18:24:24+00:00,2021-03-04T11:06:52+00:00,Uncategorized,,2 minutes,https://arnon.dk/wp-content/uploads/2020/06/Tesla-K80-deprecated.png,"A bit under the radar, NVIDIA’s CUDA 11 has dropped support for cards using sm_30 and sm_32. Furthermore, cards using sm_35, sm_37 and sm_50 have been deprecated, and their support will be removed in future versions of CUDA. These cards include the NVIDIA Tesla K40, Tesla K80, and Tesla M60 cards. Several of the companies […]",220
zero-waste-with-saas-products,Zero waste with SaaS products,https://arnon.dk/zero-waste-with-saas-products/,post,Arnon Shimoni,2021-08-27T07:56:33+00:00,2021-08-27T07:56:36+00:00,product management,podcast;product management,1 minute,https://arnon.dk/wp-content/uploads/2021/08/1629971613648.jpeg,"… is there a way to stop customers using your product wrong? Earlier this year I sat down for dinner with Miia where we talked a bit about product management, and a lot more about zero waste at Ark, a zero-waste restaurant in Copenhagen. We naturally recorded ourselves getting progressively more drunk, and you can […]",145
running-okr-workshops-for-dummies-part-2,Running OKR workshops for dummies (part 2),https://arnon.dk/running-okr-workshops-for-dummies-part-2/,post,Arnon Shimoni,2021-09-16T15:31:25+00:00,2021-09-16T15:31:28+00:00,product management,OKRs;product management,4 minutes,https://arnon.dk/wp-content/uploads/2021/09/Running-OKR-workshops-for-dummies-part-1-2.png,"In this part, we'll discuss narrowing down your OKR candidates and sharing them with your stakeholders.",817
running-okr-workshops-for-dummies-part-1,Running OKR workshops for dummies (part 1),https://arnon.dk/running-okr-workshops-for-dummies-part-1/,post,Arnon Shimoni,2021-08-23T08:43:47+00:00,2021-09-20T11:44:55+00:00,product management,OKRs;product management,10 minutes,https://arnon.dk/wp-content/uploads/2021/08/Running-OKR-workshops-for-dummies-part-1-1.png,"OKRs are a pain. Here's how you'll run your own OKR workshop, even if your team is remote.",1891
forward,Forward →,https://arnon.dk/forward/,post,Arnon Shimoni,2021-10-19T20:57:44+00:00,2021-10-19T21:00:54+00:00,Uncategorized,,3 minutes,https://arnon.dk/wp-content/uploads/2021/10/forward-cover-blog-01-.jpg,"Running a company is hard. Running a modern, inclusive, sustainable, and authentic company is much harder. One of the reasons I joined Pleo, was because it was all of those things. It was a great breath of fresh air. But not all companies are like that. All is not lost though, because companies can and […]",283
printing-to-a-pos-5890k-thermal-printer-from-a-raspberry-pi,Printing to a POS-5890K thermal printer from a Raspberry Pi,https://arnon.dk/printing-to-a-pos-5890k-thermal-printer-from-a-raspberry-pi/,post,Arnon Shimoni,2022-03-31T08:22:48+00:00,2022-03-31T17:27:34+00:00,Uncategorized,,3 minutes,https://arnon.dk/wp-content/uploads/2022/03/pos-5890k.png,"For a small project, I wanted to print some graphic receipts from a Raspberry Pi. I bought the cheapest one I could find on Amazon, the POS-5890K. (I paid €43 on Amazon.de). It’s not a very high quality device, but the price was hard to argue with. However, printing to it was a bit more […]",594
5-things-i-learned-developing-billing-system,5 things I learned while developing a billing system,https://arnon.dk/5-things-i-learned-developing-billing-system/,post,Arnon Shimoni,2021-04-05T16:56:15+00:00,2022-04-04T13:55:25+00:00,billing;product management,billing;product management,11 minutes,https://arnon.dk/wp-content/uploads/2021/04/learned_developing_billing.png,"Half a year ago, I joined Pleo, a FinTech startup with around 15,000 customers (we’re always hiring at Pleo!). I joined to take on and further develop the billing infrastructure. When I joined, I was actually a bit concerned about the narrowness of the new role and the new team. I mean, really… How much […]",1647
traffic-fingerprinting,Malicious traffic detection using traffic fingerprints and machine learning,https://arnon.dk/traffic-fingerprinting/,post,Arnon Shimoni,2015-01-19T13:05:54+00:00,2022-06-13T17:00:52+00:00,Network Security,algorithm;ben gurion;bgu;botnet;capture;cryptolocker;fingerprint;machine learning;malware;ml;network;python;security;supervised learning;university;virus,1 minute,https://arnon.dk/wp-content/uploads/2015/01/screenshot.jpg,"Over the past year, we’ve worked on a machine learning project at Ben Gurion University of the Negev. The project attempted to find out if we can identify malicious underlying traffic (viruses, botnets, command and control channels) hiding interspersed in ‘normal’ network traffic, without using advanced heuristics or deep packet inspection – but by using […]",172
how-we-built-a-cashback-system-with-stripe,How we built a Cashback system with Stripe,https://arnon.dk/how-we-built-a-cashback-system-with-stripe/,post,Arnon Shimoni,2022-12-11T16:00:13+00:00,2022-12-11T16:12:25+00:00,billing,billing;cashback;monetization,8 minutes,https://arnon.dk/wp-content/uploads/2022/10/image.png,"Recently, at Pleo, we built a cashback system that uses our internal payments infrastructure, as well as Stripe. So while there are other components at play to actually move the money around, Stripe is what drives the cashback events for the most part. Yeah, it’s a bit of a stretch, but it is doable! I’m […]",1477
youre-pricing-your-saas-wrong-but-thats-probably-ok,You’re pricing your SaaS wrong but that’s probably OK,https://arnon.dk/youre-pricing-your-saas-wrong-but-thats-probably-ok/,post,Arnon Shimoni,2023-04-02T14:54:36+00:00,2023-04-03T16:23:06+00:00,billing,billing;monetization,5 minutes,https://arnon.dk/wp-content/uploads/2023/04/Youre-pricing-it-wrong-1.png,"Previously, I wrote about how important it is to Design your pricing and tools so you can adapt them later – now I want to give a little bit more material on that… I’m going to assume that you’re some sort of SaaS founder, or perhaps even a product manager for pricing, growth, or monetisation. […]",1004
design-your-pricing-and-tools-so-you-can-adapt-it-later,Design your pricing and tools so you can adapt them later,https://arnon.dk/design-your-pricing-and-tools-so-you-can-adapt-it-later/,post,Arnon Shimoni,2023-02-04T05:15:15+00:00,2024-01-23T13:03:25+00:00,billing;product management,billing;entitlements,9 minutes,https://arnon.dk/wp-content/uploads/2023/02/Pricing-design-1.png,"In this blog post I’ll talk about three pricing architecture concepts that I think are really important in modern billing – designing pricing and packaging to be adaptable. I’ll build upon the experience our billing infrastructure team had at Pleo, which has allowed us to expand to new geographies, currencies, and adapt pricing very rapidly. […]",1558
why-you-should-separate-your-billing-from-entitlement,You should separate your billing from entitlements,https://arnon.dk/why-you-should-separate-your-billing-from-entitlement/,post,Arnon Shimoni,2022-02-27T17:26:02+00:00,2024-07-17T09:10:20+00:00,billing;product management,billing;entitlement,7 minutes,https://arnon.dk/wp-content/uploads/2022/02/separate_entitlements_from_billing.png,"Building your own entitlement service is key for supporting a modern, flexible SaaS product. Whenever I read about billing systems, there’s a lot of talk about the billing aspects but not so much around entitlements. In the spirit of sharing, and since I haven’t found any good articles about it, I decided to tell you […]",1412
6-reasons-why-b2c-billing-is-actually-harder-than-b2b,🤔🔍 B2C billing is actually harder than B2B billing,https://arnon.dk/6-reasons-why-b2c-billing-is-actually-harder-than-b2b/,post,Arnon Shimoni,2024-11-13T05:03:17+00:00,2024-11-13T09:43:39+00:00,billing,billing,11 minutes,https://arnon.dk/wp-content/uploads/2024/11/image-3-1600x1189.png,"We often neglect to consider how B2C billing at Spotify, Netflix, HelloFresh, ClassPass, and even ChatGPT work. Because it feels like a solved problem it is very often underestimated. Don't build it yourself.",2141
how-we-built-a-mini-podcasting-studio-for-under-10000,"How we built a mini podcasting studio for under $10,000",https://arnon.dk/how-we-built-a-mini-podcasting-studio-for-under-10000/,post,Arnon Shimoni,2025-05-18T15:28:38+00:00,2025-06-14T19:28:53+00:00,billing,,10 minutes,https://arnon.dk/wp-content/uploads/2025/05/image-6-1600x1050.png,"The podcast setup at Get Paid was upgraded, focusing on quality and budget-friendly equipment for both remote and in-person interviews. Key choices included the Blackmagic Micro Studio Camera 4K G2 for video, Shure MV7+ microphones for audio, and an organized storage solution. Comfort in the studio environment also significantly enhances interview quality.",1393
the-free-tier-death-cult,The free tier death cult,https://arnon.dk/the-free-tier-death-cult/,post,Arnon Shimoni,2025-08-17T10:40:32+00:00,2025-08-17T10:40:35+00:00,ai;pricing,,5 minutes,https://arnon.dk/wp-content/uploads/2025/08/image-7.png,"One user consumed tens of thousands in model usage on a $200 plan. That’s from Anthropic’s own admission when they killed Claude Code’s unlimited tier. Not $200 worth of usage. Tens of thousands of dollars on a $200/month plan. TechCrunch said Cursor hit $500 million ARR. Fastest growing application ever, but still losing money on […]",668
the-saas-pricing-apocalypse,The SaaS pricing apocalypse,https://arnon.dk/the-saas-pricing-apocalypse/,post,Arnon Shimoni,2025-08-14T11:18:54+00:00,2025-08-17T10:40:58+00:00,ai;billing;pricing,,2 minutes,https://arnon.dk/wp-content/uploads/2025/08/image-3.png,"You know that feeling when you’re looking at your competitor’s pricing page and the math doesn’t add up? $9/month. Unlimited usage. Same features as your $900 enterprise plan. Your first thought: They’re burning VC money. Classic Silicon Valley playbook – grow at all costs, figure out margins later. You’ve seen this movie before. They’ll either […]",355
pricing-ai-proofs-of-concept-free-pilots-will-kill-you,Pricing AI Proofs-of-Concept: free pilots will kill you,https://arnon.dk/pricing-ai-proofs-of-concept-free-pilots-will-kill-you/,post,Arnon Shimoni,2025-07-30T09:49:49+00:00,2025-08-17T10:41:18+00:00,ai;pricing;product management,ai,3 minutes,https://arnon.dk/wp-content/uploads/2025/07/PoC-death-spiral-scaled.png,"You know that sinking feeling when a “promising” proof of concept drags on for months, burns through your engineering resources, and ends with “we need more time to evaluate”? Yeah. That’s the PoC death spiral. And I’m seeing so many agentic companies falling into this trap as we help them monetize their agents at Paid. […]",645
the-5-stages-of-saas-death,The 5 stages of SaaS death,https://arnon.dk/the-5-stages-of-saas-death/,post,Arnon Shimoni,2025-08-10T12:01:07+00:00,2025-08-25T15:55:05+00:00,ai;pricing;product management,,7 minutes,https://arnon.dk/wp-content/uploads/2025/08/image-2.png,"Last week, I met a founder who’d just lost a pretty big $2M deal to a 3-person startup with a half-finished product (I call these “3 Stanford grads in a trenchcoat”). He was annoyed they didn’t even have a basic dashboard or settings page. I think he wasn’t angry about losing the deal, but mostly […]",1334
mits-95-ai-failure-rate-is-wrong,MIT’s 95% AI failure rate is wrong,https://arnon.dk/mits-95-ai-failure-rate-is-wrong/,post,Arnon Shimoni,2025-08-27T10:48:42+00:00,2025-08-27T10:48:46+00:00,ai,,3 minutes,https://arnon.dk/wp-content/uploads/2025/08/image-11.png,"The MIT NANDA report claiming 95% of AI projects fail is making rounds on LinkedIn. Everyone’s sharing it like it’s gospel. Has anyone actually read the methodology? They interviewed 52 organizations. That’s their entire sample. We’ve worked with over 250 companies at Paid, and the reality looks completely different. The flaw in their math MIT […]",488
notes-on-where-seat-based-pricing-is-going,Notes on where seat-based pricing is going,https://arnon.dk/notes-on-where-seat-based-pricing-is-going/,post,Arnon Shimoni,2025-10-27T12:30:09+00:00,2025-10-27T12:30:14+00:00,billing,,5 minutes,https://arnon.dk/wp-content/uploads/2025/10/image.png,"Everyone (mostly me) keeps saying seat pricing is dead, and some people are arguing with me online. I think that’s cool, but it’s because they don’t understand why it’s dying. For twenty years, SaaS revenue scaled with headcount.More humans = more seats.That logic held so long that we stopped questioning it. Then the humans disappeared. […]",913
the-trust-collapse-infinite-ai-content-is-awful,The trust collapse: Infinite AI content is awful,https://arnon.dk/the-trust-collapse-infinite-ai-content-is-awful/,post,Arnon Shimoni,2025-11-05T22:04:42+00:00,2025-11-05T22:04:48+00:00,marketing,marketing,7 minutes,https://arnon.dk/wp-content/uploads/2025/11/image-2.png,Content is infinite and free now. Trust isn't. We're abandoning digital channels entirely because we can't tell what's real anymore.,1161
operational-debt-is-worse-than-tech-debt,Operational debt is worse than tech debt,https://arnon.dk/operational-debt-is-worse-than-tech-debt/,post,Arnon Shimoni,2025-11-17T21:31:45+00:00,2025-11-17T21:31:48+00:00,billing,,3 minutes,https://arnon.dk/wp-content/uploads/2025/11/download.jpeg,"I’ve touched billing systems inside several companies now, and the same pattern shows up every time: the hard part of migrating off seats isn’t the software, it’s the operational debt baked into the business. This is why billing system migrations take at least 8-10 months. You start (well, engineers start) by thinking a pricing change […]",493
building-a-startup-marketing-engine-when-you-literally-have-nothing,Building a startup marketing engine when you have nothing,https://arnon.dk/building-a-startup-marketing-engine-when-you-literally-have-nothing/,post,Arnon Shimoni,2025-12-09T12:19:56+00:00,2025-12-09T12:35:01+00:00,marketing,marketing,6 minutes,https://arnon.dk/wp-content/uploads/2025/12/image.png,"I think lots of founders misunderstand what early-stage marketing is. You don’t start when you get funding, or when you’re ready, or even when you hire your first marketing person – you start when you decide who you want to be in the world but more importantly: who you need to beat. When I cofounded […]",1123
the-stranded-asset-in-ai-pricing,The “stranded asset” in AI pricing,https://arnon.dk/the-stranded-asset-in-ai-pricing/,post,Arnon Shimoni,2025-12-10T21:51:57+00:00,2025-12-10T21:52:03+00:00,pricing,billing;monetization,4 minutes,https://arnon.dk/wp-content/uploads/2025/12/image-6-scaled.png,"With hybrid ""AI pricing"", users face siloed entitlements, creating ""stranded assets"" where purchased credits remain unused. This misalignment leads to significant churn risks as companies reassess value versus spend amid rising AI costs and limited access to resources.",616
the-14-pains-of-billing,🦑 The 14 pains of building your own billing system,https://arnon.dk/the-14-pains-of-billing/,post,Arnon Shimoni,2024-02-19T22:32:58+00:00,2026-01-23T08:42:32+00:00,billing;pricing,billing,8 minutes,https://arnon.dk/wp-content/uploads/2024/02/image-1019x1024.png,Trying to cobble together your own billing system is like wrestling an octopus that's armed with tax codes and invoices instead of tentacles. It's a beast of complexity that can tangle up everything from customer support to compliance. I have 14 points on why it's hard.,1594
the-14-pains-of-billing-ai-agents,🐙 The 14 pains of billing for AI agents,https://arnon.dk/the-14-pains-of-billing-ai-agents/,post,Arnon Shimoni,2025-07-26T21:51:16+00:00,2026-01-23T08:43:10+00:00,ai;billing;pricing,billing,8 minutes,https://arnon.dk/wp-content/uploads/2025/07/SCR-20250726-lifj.jpeg,"(Basically, why the octopus grew new tentacles for agentic billing) A while ago, I wrote about the 14 pains of building your own billing system – that was back when billing was “just” complicated. It got mentioned quite a bit around the internet, and ended up #2 on the front page of Hacker News which […]",1559
building-a-billing-system-is-still-hard-even-with-ai,"Building a billing system is still hard, even with AI",https://arnon.dk/building-a-billing-system-is-still-hard-even-with-ai/,post,Arnon Shimoni,2026-02-02T21:18:50+00:00,2026-02-02T21:18:53+00:00,billing,billing;monetization,3 minutes,https://arnon.dk/wp-content/uploads/2026/02/billing-with-ai-still-hard.png,"8 years building billing systems and I’m still wrong about just how hard it actually is. Not “getting better at it hard”, but like really genuinely discovering new layers of complexity I never saw coming. — Back when we started Paid at the end of 2024, I remember people telling me “billing is not hard, […]",479
your-pricing-sucks-and-your-billing-system-is-why,"1,800 pricing changes in 2025, zero billing overhauls",https://arnon.dk/your-pricing-sucks-and-your-billing-system-is-why/,post,Arnon Shimoni,2026-02-21T15:22:05+00:00,2026-02-21T17:43:01+00:00,billing,,12 minutes,https://arnon.dk/wp-content/uploads/2026/02/pricing-sucks-header.png,Your pricing page promises usage-based credits and hybrid plans. Your billing system runs on two duct-taped Stripe subscriptions and a spreadsheet. Everyone changed their pricing in 2025. Almost nobody changed what's behind it.,2214
